Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
216;5800179629;"Journal of Criminal Justice Education";journal;"10511253, 17459117";0,354;Q2;32;69;90;3830;147;88;1,43;55,51;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990-1995, 2005-2022";"Law (Q2); Education (Q3)";"Social Sciences"
217;21100845659;"Revista Chilena de Derecho y Tecnologia";journal;"07192576, 07192584";0,353;Q2;4;13;64;584;36;61;0,65;44,92;Chile;Latin America;"Universidad de Chile";"2017-2022";"Law (Q2); Computer Networks and Communications (Q3); Information Systems (Q3)";"Computer Science; Social Sciences"
218;145657;"Conflict Resolution Quarterly";journal;"15365581, 15411508";0,352;Q2;25;39;68;1549;70;58;0,60;39,72;United States;Northern America;"Wiley-Liss Inc.";"2005-2022";"Law (Q2); Psychology (miscellaneous) (Q3)";"Psychology; Social Sciences"
219;12043;"Interchange";journal;"15731790, 08264805";0,352;Q2;21;35;95;1704;129;92;1,48;48,69;Netherlands;Western Europe;"Springer Netherlands";"1970-2003, 2005-2022";"Arts and Humanities (miscellaneous) (Q2); Law (Q2); Social Sciences (miscellaneous) (Q2); Education (Q3)";"Arts and Humanities; Social Sciences"
220;13822;"Cornell Law Review";journal;"00108847";0,350;Q2;52;30;52;8605;36;52;0,46;286,83;United States;Northern America;"Cornell Law School";"1975-1981, 1984-1986, 1988-2020";"Law (Q2)";"Social Sciences"
221;12100157016;"International Journal of Law, Crime and Justice";journal;"17560616";0,348;Q2;31;27;121;1897;199;120;1,48;70,26;United States;Northern America;"Academic Press Inc.";"2008-2022";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
222;21100259111;"Journal of Legal Analysis";journal;"21617201, 19465319";0,348;Q2;14;0;24;0;32;24;1,25;0,00;United States;Northern America;"Oxford University Press";"2013-2017, 2019-2021";"Law (Q2)";"Social Sciences"
223;26847;"Women and Criminal Justice";journal;"08974454";0,348;Q2;32;64;105;4354;140;102;1,18;68,03;United States;Northern America;"Routledge";"1989-2007, 2009-2022";"Gender Studies (Q2); Law (Q2)";"Social Sciences"
224;21100407545;"International Journal for Crime, Justice and Social Democracy";journal;"22028005, 22027998";0,347;Q2;23;36;167;2228;212;165;1,23;61,89;Australia;Pacific Region;"Queensland Uuniversity of Technology";"2013-2022";"Law (Q2); Sociology and Political Science (Q2)";"Social Sciences"
225;16151;"Medical Law Review";journal;"14643790, 09670742";0,347;Q2;31;37;102;1120;143;95;1,36;30,27;United Kingdom;Western Europe;"Oxford University Press";"1993-2022";"Law (Q2); Medicine (miscellaneous) (Q3)";"Medicine; Social Sciences"
226;21629;"University of Chicago Law Review";journal;"00419494";0,345;Q2;64;0;43;0;56;43;1,30;0,00;United States;Northern America;"University of Chicago Law School";"1977-1978, 1986, 1991-1992, 1995-2020";"Law (Q2)";"Social Sciences"
227;19637;"Crime, Law and Social Change";journal;"15730751, 09254994";0,344;Q2;54;73;170;4778;274;165;1,38;65,45;Netherlands;Western Europe;"Springer Netherlands";"1991-2022";"Law (Q2); Social Sciences (miscellaneous) (Q2); Pathology and Forensic Medicine (Q3)";"Medicine; Social Sciences"
228;16673;"Minnesota Law Review";journal;"00265535";0,343;Q2;44;10;101;3272;66;100;0,77;327,20;United States;Northern America;"University of Minnesota";"1976-1977, 1979, 1991, 1994, 1996-2022";"Law (Q2)";"Social Sciences"
229;27789;"International Journal of Marine and Coastal Law";journal;"09273522, 15718085";0,340;Q2;32;28;97;1324;100;95;0,92;47,29;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"1986-2022";"Geography, Planning and Development (Q2); Law (Q2); Environmental Science (miscellaneous) (Q3); Management, Monitoring, Policy and Law (Q3); Oceanography (Q3)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
230;21100370349;"Journal of Criminal Psychology";journal;"20093829";0,340;Q2;14;9;57;457;96;56;1,65;50,78;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2011-2022";"Law (Q2); Applied Psychology (Q3); Social Psychology (Q3)";"Psychology; Social Sciences"
231;25817;"Journal of Divorce and Remarriage";journal;"10502556, 15404811";0,339;Q2;35;26;108;1430;129;108;1,00;55,00;United States;Northern America;"Routledge";"1990-2022";"Demography (Q2); Law (Q2)";"Social Sciences"
232;5700154184;"Legal Theory";journal;"13523252, 14698048";0,339;Q2;33;13;39;497;22;37;0,42;38,23;United Kingdom;Western Europe;"Cambridge University Press";"1995-2022";"Philosophy (Q1); Law (Q2)";"Arts and Humanities; Social Sciences"
233;19192;"Natural Resources Journal";journal;"00280739";0,337;Q2;29;11;39;0;27;36;0,56;0,00;United States;Northern America;"University of New Mexico";"1977-2022";"Law (Q2); Environmental Science (miscellaneous) (Q3)";"Environmental Science; Social Sciences"
234;19500157216;"Journal of Addictions and Offender Counseling";journal;"10553835, 21611874";0,335;Q2;17;15;25;756;43;24;1,65;50,40;United States;Northern America;"Wiley-Blackwell";"1990-2022";"Law (Q2); Clinical Psychology (Q3); Social Psychology (Q3)";"Psychology; Social Sciences"
235;21101079115;"Revista Eurolatinoamericana de Derecho Administrativo";journal;"2362583X";0,335;Q2;2;9;20;251;5;20;0,25;27,89;Argentina;Latin America;"Universidad Nacional del Litoral";"2021";"Law (Q2)";"Social Sciences"
236;21100915687;"Revista Catalana de Dret Public";journal;"18858252";0,333;Q2;5;27;116;915;43;108;0,32;33,89;Spain;Western Europe;"Public Administration School of Catalonia";"2019-2022";"Law (Q2); Public Administration (Q3)";"Social Sciences"
237;5700169004;"Security Journal";journal;"17434645, 09551662";0,333;Q2;28;96;94;6292;172;92;1,60;65,54;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1995, 2000, 2009-2022";"Law (Q2); Safety Research (Q2); Strategy and Management (Q3)";"Business, Management and Accounting; Social Sciences"
238;21100840031;"Critical Military Studies";journal;"23337486, 23337494";0,330;Q2;18;47;97;2683;88;89;0,83;57,09;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2022";"History (Q1); Law (Q2); Political Science and International Relations (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Management Science and Operations Research (Q3)";"Arts and Humanities; Decision Sciences; Social Sciences"
239;5600155017;"International Journal of Human Rights";journal;"13642987";0,330;Q2;29;121;260;69;290;249;1,12;0,57;United Kingdom;Western Europe;"Routledge";"2009-2022";"Law (Q2); Sociology and Political Science (Q2)";"Social Sciences"
240;21100790507;"Comparative Legal History";journal;"20496788, 2049677X";0,329;Q2;4;7;24;0;14;18;0,81;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013, 2015-2022";"History (Q1); Law (Q2)";"Arts and Humanities; Social Sciences"
241;21100856464;"Settler Colonial Studies";journal;"18380743, 2201473X";0,328;Q2;23;17;86;0;123;82;0,63;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2022";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Demography (Q2); Law (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
242;12763;"International Journal of Technology Management";journal;"17415276, 02675730";0,327;Q2;64;43;125;2797;274;123;2,31;65,05;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"1986-1989, 1996-2022";"Engineering (miscellaneous) (Q2); Law (Q2); Computer Science Applications (Q3); Industrial Relations (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science; Engineering; Social Sciences"
243;21100856536;"Journal of Antitrust Enforcement";journal;"20500688, 20500696";0,327;Q2;10;26;94;2877;49;93;0,47;110,65;United Kingdom;Western Europe;"Oxford University Press";"2013-2022";"Law (Q2)";"Social Sciences"
244;21100890644;"Journal of Money Laundering Control";journal;"17587808, 13685201";0,327;Q2;26;115;203;4753;374;194;1,74;41,33;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1997-2022";"Economics, Econometrics and Finance (miscellaneous) (Q2); Law (Q2); Public Administration (Q3)";"Economics, Econometrics and Finance; Social Sciences"
245;20357;"Journal of Criminal Law and Criminology";journal;"00914169";0,326;Q2;51;16;58;503;73;50;1,11;31,44;United States;Northern America;"Northwestern University";"1974-1985, 1987, 1991, 1996-2022";"Law (Q2)";"Social Sciences"
246;19800188055;"Journal of Financial Crime";journal;"17587239, 13590790";0,326;Q2;29;160;283;8319;481;272;1,60;51,99;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1993-2022";"Economics, Econometrics and Finance (miscellaneous) (Q2); Law (Q2)";"Economics, Econometrics and Finance; Social Sciences"
247;5700166959;"Human Rights Review";journal;"15248879";0,325;Q2;22;28;58;1676;80;57;1,18;59,86;Netherlands;Western Europe;"Transaction Periodicals Consortium";"2000-2022";"Law (Q2); Sociology and Political Science (Q2)";"Social Sciences"
248;21100256989;"Theory and Practice of Legislation";journal;"20508859, 20508840";0,325;Q2;13;19;56;0;100;48;2,02;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2022";"Law (Q2)";"Social Sciences"
249;21101022227;"Journal of Human Rights and Social Work";journal;"23651792";0,324;Q2;12;51;108;2454;162;95;1,57;48,12;Switzerland;Western Europe;"Springer Science + Business Media";"2016-2022";"Law (Q2); Sociology and Political Science (Q2)";"Social Sciences"
250;21100942928;"Revista de Internet, Derecho y Politica";journal;"16998154";0,324;Q2;4;11;78;436;30;69;0,47;39,64;Spain;Western Europe;"Universitat Oberta de Catalunya";"2019-2022";"Law (Q2); Sociology and Political Science (Q2); Computer Science (miscellaneous) (Q3)";"Computer Science; Social Sciences"
251;26842;"Journal of World Trade";journal;"10116702";0,323;Q2;35;41;127;526;91;127;0,71;12,83;Netherlands;Western Europe;"Kluwer Law International";"1996-2022";"Law (Q2); Political Science and International Relations (Q2); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance; Social Sciences"
252;21101028118;"Journal of Gender-Based Violence";journal;"23986808, 23986816";0,320;Q2;10;37;87;1496;111;78;1,26;40,43;United Kingdom;Western Europe;"Bristol University Press";"2017-2022";"Gender Studies (Q2); Law (Q2)";"Social Sciences"
253;21100885607;"Journal of World Investment and Trade";journal;"16607112, 22119000";0,320;Q2;19;36;232;1548;87;217;0,71;43,00;Netherlands;Western Europe;"Brill Academic Publishers";"2000-2001, 2003-2022";"Economics, Econometrics and Finance (miscellaneous) (Q2); Law (Q2); Political Science and International Relations (Q2); Business and International Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
254;21100208060;"European Journal of Probation";journal;"20662203";0,317;Q2;21;19;42;868;45;40;1,17;45,68;United Kingdom;Western Europe;"SAGE Publications Ltd";"2009-2022";"Law (Q2)";"Social Sciences"
255;5600157617;"Criminal Law and Philosophy";journal;"18719791, 18719805";0,316;Q2;22;53;115;526;56;113;0,40;9,92;Netherlands;Western Europe;"Springer Netherlands";"2007-2022";"Philosophy (Q1); Law (Q2)";"Arts and Humanities; Social Sciences"
256;21101045709;"Forensic Science International: Mind and Law";journal;"26663538";0,315;Q2;7;16;61;906;98;41;1,61;56,63;Netherlands;Western Europe;"Elsevier BV";"2020-2022";"Law (Q2); Psychiatry and Mental Health (Q3); Psychology (miscellaneous) (Q3)";"Medicine; Psychology; Social Sciences"
257;19900192517;"Revista Espanola de Derecho Constitucional";journal;"02115743, 19890648";0,315;Q2;9;37;122;807;40;109;0,34;21,81;Spain;Western Europe;"Centro De Estudios Politicos y Constitucionales";"2008-2013, 2015-2022";"Law (Q2); Sociology and Political Science (Q2)";"Social Sciences"
258;130056;"Journal of International Criminal Justice";journal;"14781395, 14781387";0,314;Q2;43;21;162;2784;72;151;0,39;132,57;United Kingdom;Western Europe;"Oxford University Press";"2005-2022";"Law (Q2); Sociology and Political Science (Q2)";"Social Sciences"
259;21101059716;"Al-Ihkam: Jurnal Hukum dan Pranata Sosial";journal;"24423084, 1907591X";0,312;Q2;4;27;53;1206;52;53;1,16;44,67;Indonesia;Asiatic Region;"Faculty of Shariah Institut Agama Islam Negeri Madura";"2018-2022";"Philosophy (Q1); Religious Studies (Q1); Arts and Humanities (miscellaneous) (Q2); Law (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Social Psychology (Q3)";"Arts and Humanities; Psychology; Social Sciences"
260;15685;"Iowa Law Review";journal;"00210552";0,312;Q2;39;42;171;9067;95;171;0,60;215,88;United States;Northern America;"University of Iowa";"1976, 1979-1980, 1982, 1985, 1987, 1989-1992, 1995-2022";"Law (Q2)";"Social Sciences"
261;24010;"Constitutional Political Economy";journal;"15729966, 10434062";0,311;Q2;31;35;62;1816;53;61;0,98;51,89;United States;Northern America;"Springer New York";"1990-2022";"Philosophy (Q1); Law (Q2); Sociology and Political Science (Q2); Economics and Econometrics (Q3)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
262;100147033;"Journal of Competition Law and Economics";journal;"17446422, 17446414";0,311;Q2;29;13;51;1239;33;51;0,72;95,31;United Kingdom;Western Europe;"Oxford University Press";"2005-2022";"Law (Q2); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance; Social Sciences"
263;21100824892;"Law, Innovation and Technology";journal;"1757997X, 17579961";0,306;Q2;20;18;47;0;104;46;2,78;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2022";"Law (Q2); Artificial Intelligence (Q3); Biotechnology (Q3); Computer Science Applications (Q3); Computer Science (miscellaneous) (Q3)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Social Sciences"
264;21101089620;"Ius Ecclesiae";journal;"19725671, 11206462";0,305;Q2;1;16;27;571;6;27;0,22;35,69;Italy;Western Europe;"Fabrizio Serra Editore srl";"2021-2022";"Religious Studies (Q1); Law (Q2)";"Arts and Humanities; Social Sciences"
265;20436;"Texas Law Review";journal;"00404411";0,302;Q2;51;20;109;53;45;105;0,39;2,65;United States;Northern America;"University of Texas at Austin";"1977, 1981-1982, 1987, 1990, 1992, 1994, 1996-2022";"Law (Q2)";"Social Sciences"
266;7200153158;"Law and Practice of International Courts and Tribunals";journal;"15691853, 15718034";0,301;Q2;13;24;62;657;12;56;0,23;27,38;Netherlands;Western Europe;"Brill Academic Publishers";"2007-2022";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
267;17100154726;"Middle East Law and Governance";journal;"18763367, 18763375";0,299;Q2;14;18;63;893;41;61;0,67;49,61;Netherlands;Western Europe;"Brill Academic Publishers";"2009-2022";"Arts and Humanities (miscellaneous) (Q2); Law (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
268;16323;"Theoretical Inquiries in Law";journal;"15653404";0,299;Q2;31;21;86;1079;87;77;0,29;51,38;Germany;Western Europe;"Walter de Gruyter GmbH";"2004-2022";"Law (Q2)";"Social Sciences"
269;13600;"Georgetown Law Journal";journal;"00168092";0,298;Q2;52;0;18;0;23;18;0,00;0,00;United States;Northern America;"Georgetown University Law Center";"1973-1974, 1976-1977, 1979, 1981, 1983-1986, 1988, 1992, 1994-2019";"Law (Q2)";"Social Sciences"
270;21100814045;"Journal of Human Rights and the Environment";journal;"17597188, 17597196";0,298;Q2;11;25;58;172;52;49;0,83;6,88;United Kingdom;Western Europe;"Edward Elgar Publishing Ltd.";"2016-2022";"Law (Q2); Sociology and Political Science (Q2); Management, Monitoring, Policy and Law (Q3)";"Environmental Science; Social Sciences"
271;21100938256;"Nordic Journal of Criminology";journal;"2578983X, 25789821";0,298;Q2;25;15;44;693;56;40;1,27;46,20;United Kingdom;Western Europe;"Routledge";"2019-2022";"Law (Q2)";"Social Sciences"
272;21100248874;"Dilemas";journal;"19835922, 21782792";0,297;Q2;10;57;117;2905;56;116;0,42;50,96;Brazil;Latin America;"Universidade Federal do Rio de Janeiro - UFRJ";"2013-2022";"Law (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
273;21100228747;"Revista General de Derecho Administrativo";journal;"16969650";0,297;Q2;5;73;206;1501;45;180;0,14;20,56;Spain;Western Europe;"";"2012-2022";"Law (Q2)";"Social Sciences"
274;21100921043;"Journal of European Competition Law and Practice";journal;"20417772, 20417764";0,294;Q2;12;52;257;1779;92;231;0,36;34,21;United States;Northern America;"Oxford University Press";"2010-2022";"Law (Q2)";"Social Sciences"
275;5800170969;"Journal of Corporate Law Studies";journal;"17578426, 14735970";0,293;Q2;11;23;52;0;45;52;0,76;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2022";"Law (Q2)";"Social Sciences"
276;19763;"Federal Probation";journal;"00149128";0,292;Q2;37;0;19;0;17;19;1,23;0,00;United States;Northern America;"Administrative Office of the United States Courts";"1974-1982, 1996-2021";"Law (Q2); Pathology and Forensic Medicine (Q3)";"Medicine; Social Sciences"
277;21101050919;"Journal of Family Trauma, Child Custody and Child Development";journal;"26904586, 26904594";0,292;Q2;22;36;65;1719;82;62;0,64;47,75;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2020-2022";"Law (Q2); Developmental and Educational Psychology (Q3); Health (social science) (Q3); Social Psychology (Q3)";"Psychology; Social Sciences"
278;7700153101;"International Organizations Law Review";journal;"15723739, 15723747";0,290;Q2;21;16;60;265;33;58;0,43;16,56;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"2004-2022";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance; Social Sciences"
279;21100448016;"TalTech Journal of European Studies";journal;"26744600, 26744619";0,290;Q2;10;16;89;725;74;88;0,71;45,31;Germany;Western Europe;"de Gruyter";"2015-2022";"History (Q1); Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
280;18500168400;"Asian Affairs";journal;"03068374, 14771500";0,289;Q2;14;45;109;0;132;96;0,91;0,00;United Kingdom;Western Europe;"Routledge";"1979, 1995-2022";"Law (Q2); Political Science and International Relations (Q2); Economics and Econometrics (Q3); Geography, Planning and Development (Q3)";"Economics, Econometrics and Finance; Social Sciences"
281;17522;"Law and Critique";journal;"09578536, 15728617";0,289;Q2;23;28;64;1602;62;58;1,24;57,21;Netherlands;Western Europe;"Springer Netherlands";"1990-2002, 2004-2022";"Law (Q2)";"Social Sciences"
282;21100432496;"Revista de Derecho Privado";journal;"01234366, 23462442";0,288;Q2;5;29;85;985;20;84;0,23;33,97;Colombia;Latin America;"Universidad Externado de Colombia";"2015-2022";"Law (Q2)";"Social Sciences"
283;145585;"Industrial Law Journal";journal;"03059332";0,287;Q2;29;19;76;1114;57;71;0,84;58,63;United Kingdom;Western Europe;"Oxford University Press";"1972-2022";"Law (Q2)";"Social Sciences"
284;21100396512;"International Sports Law Journal";journal;"22135154, 15677559";0,287;Q2;10;35;59;1395;80;51;1,35;39,86;United States;Northern America;"Springer Science + Business Media";"2013-2022";"Law (Q2)";"Social Sciences"
285;19600157915;"Journal of Applied Security Research";journal;"19361629, 19361610";0,286;Q2;16;64;87;2838;139;86;1,78;44,34;United Kingdom;Western Europe;"Routledge";"2008-2022";"Law (Q2); Safety Research (Q2); Education (Q3); Safety, Risk, Reliability and Quality (Q3)";"Engineering; Social Sciences"
286;21100208071;"Teoria y Realidad Constitucional";journal;"11395583, 21748950";0,286;Q2;9;15;110;946;32;110;0,33;63,07;Spain;Western Europe;"Universidad Nacional de Educacion a Distancia (UNED)";"2012-2022";"Law (Q2); Political Science and International Relations (Q2)";"Social Sciences"
287;5600152888;"Journal of Genocide Research";journal;"14623528, 14699494";0,285;Q2;32;60;83;0;99;58;1,16;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1999-2022";"History (Q1); Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
288;21100253392;"Asian Journal of International Law";journal;"20442521, 20442513";0,283;Q2;13;18;59;634;33;58;0,32;35,22;United Kingdom;Western Europe;"Cambridge University Press";"2011-2022";"Law (Q2)";"Social Sciences"
289;21100923617;"Revista Pedagogia Universitaria y Didactica del Derecho";journal;"07195885";0,283;Q2;5;29;75;972;63;71;0,72;33,52;Chile;Latin America;"Universidad de Chile";"2019-2022";"Law (Q2); Education (Q3)";"Social Sciences"
290;17700155038;"Droit et Societe";journal;"19696973, 07693362";0,281;Q2;15;23;116;1095;31;103;0,24;47,61;France;Western Europe;"Editions Juridiques Associees";"2001-2022";"Law (Q2); Sociology and Political Science (Q2)";"Social Sciences"
291;21101042128;"Juridical Tribune";journal;"22477195, 22480382";0,281;Q2;4;32;32;1201;37;32;1,16;37,53;Romania;Eastern Europe;"Bucharest University of Economic Studies";"2021-2022";"Law (Q2); Political Science and International Relations (Q2); Education (Q3); Public Administration (Q3)";"Social Sciences"
292;14435;"Current legal problems";journal;"20448422, 00701998";0,280;Q2;12;0;29;0;23;29;0,53;0,00;United Kingdom;Western Europe;"Oxford University Press";"1983, 2014-2019";"Law (Q2)";"Social Sciences"
293;19900191551;"International Review of the Red Cross";journal;"16075889, 18163831";0,280;Q2;41;48;166;852;73;157;0,23;17,75;United Kingdom;Western Europe;"Cambridge University Press";"2005-2022";"Law (Q2); Sociology and Political Science (Q2)";"Social Sciences"
294;19676;"Southern California Law Review";journal;"00383910";0,279;Q2;38;0;77;0;51;77;0,36;0,00;United States;Northern America;"University of Southern California";"1973-1979, 1981-1982, 1985-1988, 1991-1992, 1996-2021";"Law (Q2)";"Social Sciences"
295;4700152718;"Adoption Quarterly";journal;"10926755";0,278;Q2;36;24;44;1517;48;43;0,79;63,21;United States;Northern America;"Routledge";"1997-2022";"Demography (Q2); Law (Q2); Sociology and Political Science (Q2)";"Social Sciences"
296;21100933893;"Family Court Review";journal;"15312445, 17441617";0,278;Q2;14;62;200;871;131;179;0,73;14,05;United States;Northern America;"John Wiley &amp; Sons Inc.";"2019-2022";"Law (Q2)";"Social Sciences"
297;130127;"Human Rights Law Review";journal;"14617781, 17441021";0,278;Q2;39;36;98;2388;107;98;0,91;66,33;United Kingdom;Western Europe;"Oxford University Press";"2005-2022";"Law (Q2); Sociology and Political Science (Q2)";"Social Sciences"
298;21101021175;"Lex Portus";journal;"2617541X, 2524101X";0,278;Q2;3;16;37;660;29;35;0,78;41,25;Ukraine;Eastern Europe;"National University Odessa Law Academy";"2020-2022";"Law (Q2); Political Science and International Relations (Q2); Management, Monitoring, Policy and Law (Q3); Transportation (Q3)";"Environmental Science; Social Sciences"
299;21100805791;"Transnational Legal Theory";journal;"20414013, 20414005";0,278;Q2;12;17;71;0;77;67;1,08;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2022";"Law (Q2)";"Social Sciences"
300;21100790525;"European Competition Journal";journal;"17441056, 17578396";0,276;Q2;12;31;61;35;39;61;0,68;1,13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005, 2012, 2014-2022";"Economics, Econometrics and Finance (miscellaneous) (Q2); Law (Q2)";"Economics, Econometrics and Finance; Social Sciences"
301;5800224699;"Modern Law Review";journal;"14682230, 00267961";0,274;Q2;28;70;143;0;137;139;0,62;0,00;United States;Northern America;"Wiley-Blackwell";"1937-1995, 1997-1999, 2001-2002, 2004, 2011-2022";"Law (Q2)";"Social Sciences"
302;5700163881;"Contemporary Justice Review: Issues in Criminal, Social, and Restorative Justice";journal;"10282580";0,272;Q2;19;12;82;757;69;72;0,79;63,08;United Kingdom;Western Europe;"Routledge";"2010-2022";"Law (Q2)";"Social Sciences"
303;144984;"Res Publica";journal;"13564765, 15728692";0,272;Q2;22;50;104;2035;78;94;0,70;40,70;Netherlands;Western Europe;"Springer Netherlands";"1994-2022";"Law (Q2); Philosophy (Q2)";"Arts and Humanities; Social Sciences"
304;19700170105;"Problems and Perspectives in Management";journal;"17277051, 18105467";0,271;Q2;25;189;491;9592;731;491;1,54;50,75;Ukraine;Eastern Europe;"Business Perspectives";"2003-2022";"Law (Q2); Sociology and Political Science (Q2); Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Information Systems and Management (Q3); Public Administration (Q3); Social Sciences (miscellaneous) (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
305;145329;"International Journal of Discrimination and the Law";journal;"13582291, 20479468";0,270;Q2;11;25;51;566;54;39;0,89;22,64;United States;Northern America;"SAGE Publications Inc.";"2000, 2005-2009, 2011-2022";"Law (Q2); Sociology and Political Science (Q2)";"Social Sciences"
306;21100203315;"Anuario Iberoamericano de Justicia Constitucional";journal;"19895585, 11384824";0,269;Q2;5;23;64;713;16;61;0,30;31,00;Spain;Western Europe;"Centro De Estudios Politicos y Constitucionales";"2011-2022";"Law (Q2)";"Social Sciences"
307;21100922988;"Antitrust Bulletin";journal;"19307969, 0003603X";0,268;Q2;21;34;95;0;61;90;0,62;0,00;United States;Northern America;"SAGE Publications Inc.";"1996-2022";"Law (Q2); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance; Social Sciences"
308;21100865931;"EC Tax Review";journal;"09282750, 18758363";0,268;Q2;5;33;104;2674;38;89;0,35;81,03;Netherlands;Western Europe;"Kluwer Law International";"2018-2022";"Law (Q2); Accounting (Q3)";"Business, Management and Accounting; Social Sciences"
309;17400154833;"Journal of Transportation Security";journal;"19387741, 1938775X";0,268;Q2;16;14;39;633;61;38;1,48;45,21;United States;Northern America;"Springer New York";"2008-2022";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Safety Research (Q3); Transportation (Q3); Management Science and Operations Research (Q4)";"Decision Sciences; Social Sciences"
310;21100210921;"Central European Journal of Public Policy";journal;"18024866";0,266;Q2;11;9;27;446;40;27;1,11;49,56;Czech Republic;Eastern Europe;"Faculty of Sociel Sciences, Charles Universtiy";"2012-2022";"Law (Q2); Sociology and Political Science (Q2); Public Administration (Q3)";"Social Sciences"
311;21101047935;"Hasanuddin Law Review";journal;"24429880, 24429899";0,266;Q2;3;18;61;574;34;61;0,69;31,89;Indonesia;Asiatic Region;"Faculty of Law, Universitas Hasanuddin";"2017-2022";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
312;19700174724;"International Journal of Migration, Health and Social Care";journal;"20428650, 17479894";0,266;Q2;17;23;100;1180;83;100;0,69;51,30;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2005-2022";"Law (Q2); Sociology and Political Science (Q2); Health (social science) (Q3)";"Social Sciences"
313;28887;"Computer Fraud and Security";journal;"13613723";0,265;Q2;30;0;138;0;161;138;1,09;0,00;United Kingdom;Western Europe;"MA Healthcare Ltd";"1996-2021";"Law (Q2); Computer Science (miscellaneous) (Q3)";"Computer Science; Social Sciences"
314;21100283726;"Forensic Science Review";journal;"10427201";0,265;Q2;16;8;39;528;33;28;0,53;66,00;Taiwan;Asiatic Region;"Central Police University Press";"2012, 2014-2022";"Law (Q2); Medicine (miscellaneous) (Q3)";"Medicine; Social Sciences"
315;21100922953;"London Review of International Law";journal;"20506333, 20506325";0,262;Q2;15;16;57;1696;20;56;0,26;106,00;United Kingdom;Western Europe;"Oxford University Press";"2013-2022";"Law (Q2)";"Social Sciences"
316;21100900131;"Terra Economicus";journal;"24104531, 20736606";0,262;Q2;10;35;114;1202;133;114;1,48;34,34;Russian Federation;Eastern Europe;"Southern Federal University";"2018-2022";"History (Q1); Law (Q2); Political Science and International Relations (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
