Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
200;21100820654;"Chinese Journal of Comparative Law";journal;"20504802, 20504810";0,385;Q2;7;5;55;648;46;50;0,76;129,60;United Kingdom;Western Europe;"Oxford University Press";"2013-2021";"Law (Q2); Economics and Econometrics (Q3)"
201;145585;"Industrial Law Journal";journal;"03059332";0,385;Q2;28;31;70;2296;64;66;0,69;74,06;United Kingdom;Western Europe;"Oxford University Press";"1972-2021";"Law (Q2)"
202;21100220394;"Climate Law";journal;"18786553, 18786561";0,383;Q2;20;12;45;581;42;44;0,89;48,42;Netherlands;Western Europe;"Brill Academic Publishers";"2010-2012, 2014-2021";"Environmental Science (miscellaneous) (Q2); Law (Q2); Management, Monitoring, Policy and Law (Q3); Renewable Energy, Sustainability and the Environment (Q3)"
203;21100886226;"International Journal of Evidence and Proof";journal;"13657127, 17405572";0,383;Q2;6;19;87;804;102;74;1,21;42,32;United Kingdom;Western Europe;"SAGE Publications Ltd";"2018-2021";"Law (Q2); Sociology and Political Science (Q2); Management, Monitoring, Policy and Law (Q3)"
204;19676;"Southern California Law Review";journal;"00383910";0,382;Q2;35;5;61;665;65;61;1,22;133,00;United States;Northern America;"University of Southern California";"1973-1979, 1981-1982, 1985-1988, 1991-1992, 1996-2021";"Law (Q2)"
205;22852;"Yale journal on regulation";journal;"07419457";0,382;Q2;6;21;33;2333;43;33;1,30;111,10;United States;Northern America;"Yale Journal on Regulation";"1991, 1994, 1998, 2019-2021";"Law (Q2); Public Administration (Q3)"
206;5800179629;"Journal of Criminal Justice Education";journal;"10511253, 17459117";0,380;Q2;30;43;96;2139;106;93;1,24;49,74;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990-1995, 2005-2021";"Education (Q2); Law (Q2)"
207;21058;"UCLA Law Review";journal;"00415650";0,378;Q2;47;0;88;0;98;88;0,76;0,00;United States;Northern America;"American Statistical Association";"1968, 1976, 1978, 1980-1983, 1986, 1989, 1991-2020";"Law (Q2)"
208;25671;"Washington Quarterly";journal;"15309177, 0163660X";0,378;Q2;49;40;117;0;202;117;1,69;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1978-2021";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
209;144984;"Res Publica";journal;"13564765, 15728692";0,373;Q2;21;54;96;1865;74;86;0,56;34,54;Netherlands;Western Europe;"Springer Netherlands";"1994-2021";"Philosophy (Q1); Law (Q2)"
210;5800224699;"Modern Law Review";journal;"14682230, 00267961";0,371;Q2;24;73;126;0;177;123;1,31;0,00;United States;Northern America;"Wiley-Blackwell";"1937-1995, 1997-1999, 2001-2002, 2004, 2011-2021";"Law (Q2)"
211;22068;"Vanderbilt Law Review";journal;"00422533";0,371;Q2;47;0;95;0;83;95;0,69;0,00;United States;Northern America;"Vanderbilt Law Review";"1973-1976, 1978-1979, 1986-1987, 1989-1990, 1992-1993, 1995-2020";"Law (Q2)"
212;5600155948;"European Law Journal";journal;"14680386, 13515993";0,368;Q2;58;10;113;0;81;100;0,59;0,00;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1995-2021";"Law (Q2)"
213;18553;"Northwestern University Law Review";journal;"00293571";0,368;Q2;47;22;125;119;70;110;0,56;5,41;United States;Northern America;"University of Illinois Press";"1973, 1977, 1981, 1989-1990, 1992-2021";"Law (Q2)"
214;34981;"Journal of Social Welfare and Family Law";journal;"09649069";0,367;Q2;27;38;124;1161;123;97;0,90;30,55;United Kingdom;Western Europe;"Routledge";"1979, 1982, 1987-1988, 1991-2021";"Law (Q2); Sociology and Political Science (Q2)"
215;18728;"Psychiatry, Psychology and Law";journal;"19341687, 13218719";0,366;Q2;34;68;204;4018;259;192;1,18;59,09;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2021";"Law (Q2); Pathology and Forensic Medicine (Q3); Psychiatry and Mental Health (Q3); Psychology (miscellaneous) (Q3)"
216;17400154818;"ERA Forum";journal;"16123093, 18639038";0,364;Q2;9;53;149;602;134;136;1,03;11,36;Germany;Western Europe;"Springer Verlag";"2009-2021";"Law (Q2); Political Science and International Relations (Q2)"
217;26847;"Women and Criminal Justice";journal;"08974454";0,364;Q2;29;68;80;4180;118;76;1,19;61,47;United States;Northern America;"Routledge";"1989-2007, 2009-2021";"Gender Studies (Q2); Law (Q2)"
218;6000152910;"Journal of Arts Management Law and Society";journal;"10632921, 19307799";0,363;Q2;20;32;74;1462;75;71;1,00;45,69;United States;Northern America;"Taylor and Francis Ltd.";"1992-2021";"Visual Arts and Performing Arts (Q1); Law (Q2); Strategy and Management (Q3)"
219;13822;"Cornell Law Review";journal;"00108847";0,362;Q2;50;0;72;0;50;72;0,90;0,00;United States;Northern America;"Cornell Law School";"1975-1981, 1984-1986, 1988-2020";"Law (Q2)"
220;18100156704;"International Review of Law, Computers and Technology";journal;"13600869, 13646885";0,362;Q2;14;28;61;1369;82;55;1,55;48,89;United Kingdom;Western Europe;"Routledge";"1984, 1986-1987, 1989, 1991-1995, 2009-2021";"Law (Q2); Computer Science Applications (Q3)"
221;12763;"International Journal of Technology Management";journal;"17415276, 02675730";0,359;Q2;61;44;128;2336;225;128;1,31;53,09;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"1986-1989, 1996-2021";"Engineering (miscellaneous) (Q2); Industrial Relations (Q2); Law (Q2); Computer Science Applications (Q3); Strategy and Management (Q3)"
222;25282;"Journal of Fluorescence";journal;"15734994, 10530509";0,359;Q2;74;189;457;8117;1101;455;2,33;42,95;United States;Northern America;"Springer New York";"1991-2021";"Law (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Biochemistry (Q3); Clinical Psychology (Q3); Spectroscopy (Q3); Clinical Biochemistry (Q4)"
223;19900192517;"Revista Espanola de Derecho Constitucional";journal;"02115743, 19890648";0,359;Q2;7;36;115;835;38;99;0,25;23,19;Spain;Western Europe;"Centro De Estudios Politicos y Constitucionales";"2008-2013, 2015-2021";"Law (Q2); Sociology and Political Science (Q2)"
224;21100865909;"Intertax";journal;"18758347, 01652826";0,356;Q2;7;99;325;5437;89;273;0,20;54,92;Netherlands;Western Europe;"Kluwer Law International";"2018-2021";"Law (Q2); Accounting (Q3)"
225;28887;"Computer Fraud and Security";journal;"13613723";0,353;Q2;27;45;143;406;176;143;1,26;9,02;United Kingdom;Western Europe;"Elsevier BV";"1996-2021";"Law (Q2); Computer Science (miscellaneous) (Q3)"
226;130055;"Public Organization Review";journal;"15667170, 15737098";0,353;Q2;30;85;106;4293;166;105;1,53;50,51;Netherlands;Western Europe;"Kluwer Academic Publishers";"2004-2021";"Law (Q2); Business, Management and Accounting (miscellaneous) (Q3)"
227;21100375851;"Anuario de Psicologia Juridica";journal;"11330740, 21740542";0,352;Q2;11;14;34;876;51;34;1,71;62,57;Spain;Western Europe;"Colegio Oficial de Psicologos de Madrid";"2013-2021";"Law (Q2); Applied Psychology (Q3); Pathology and Forensic Medicine (Q3)"
228;21100977380;"Cambridge International Law Journal";journal;"23989173, 23989181";0,349;Q2;10;15;40;293;30;35;0,94;19,53;United Kingdom;Western Europe;"Edward Elgar Publishing Ltd.";"2012-2021";"Law (Q2)"
229;14298;"Harvard Environmental Law Review";journal;"01478257";0,349;Q2;32;0;37;0;40;37;1,36;0,00;United States;Northern America;"Harvard University";"1979-1983, 1987, 1989, 1996-2020";"Law (Q2); Environmental Science (miscellaneous) (Q3); Management, Monitoring, Policy and Law (Q3)"
230;20436;"Texas Law Review";journal;"00404411";0,349;Q2;50;40;105;106;63;97;0,32;2,65;United States;Northern America;"University of Texas at Austin";"1977, 1981-1982, 1987, 1990, 1992, 1994, 1996-2021";"Law (Q2)"
231;21100371203;"Revista de Derecho Politico";journal;"21745625, 0211979X";0,347;Q2;5;38;124;2628;29;124;0,26;69,16;Spain;Western Europe;"Universidad Nacional de Educacion a Distancia (UNED)";"2014-2021";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
232;19763;"Federal Probation";journal;"00149128";0,346;Q2;35;2;34;109;27;34;0,41;54,50;United States;Northern America;"Administrative Office of the United States Courts";"1974-1982, 1996-2021";"Law (Q2); Pathology and Forensic Medicine (Q3)"
233;21100217205;"Journal of Borderlands Studies";journal;"21591229, 08865655";0,346;Q2;24;79;162;4767;185;148;1,15;60,34;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1986-2021";"Geography, Planning and Development (Q2); Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
234;19700188322;"Journal of Human Rights";journal;"14754843, 14754835";0,345;Q2;20;42;120;2531;136;116;1,24;60,26;United Kingdom;Western Europe;"Carfax Publishers";"2010-2021";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
235;19700174682;"Safer Communities";journal;"17578043";0,344;Q2;13;17;46;894;63;45;0,81;52,59;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2002-2021";"Law (Q2); Safety Research (Q2); Community and Home Care (Q3); Public Health, Environmental and Occupational Health (Q3)"
236;21100283726;"Forensic Science Review";journal;"10427201";0,341;Q2;14;19;40;460;53;35;1,10;24,21;Taiwan;Asiatic Region;"Central Police University Press";"2012, 2014-2021";"Law (Q2); Medicine (miscellaneous) (Q3)"
237;21100242411;"International Journal of Law in Context";journal;"17445531, 17445523";0,341;Q2;21;49;91;2574;127;89;0,92;52,53;United Kingdom;Western Europe;"Cambridge University Press";"2005-2021";"Law (Q2)"
238;12100157016;"International Journal of Law, Crime and Justice";journal;"17560616";0,339;Q2;29;30;144;1825;196;143;1,38;60,83;United States;Northern America;"Academic Press Inc.";"2008-2021";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
239;25650;"Columbia Journal of Transnational Law";journal;"00101931";0,338;Q2;33;5;54;1004;26;41;0,45;200,80;United States;Northern America;"Columbia Law Review Association";"1996-2020";"Law (Q2); Political Science and International Relations (Q2)"
240;19231;"Oxford Journal of Legal Studies";journal;"14643820, 01436503";0,338;Q2;32;48;105;4047;104;105;0,89;84,31;United Kingdom;Western Europe;"Oxford University Press";"1981-1996, 1998, 2000-2001, 2005-2021";"Law (Q2)"
241;18500168400;"Asian Affairs";journal;"03068374, 14771500";0,337;Q2;13;40;101;0;126;89;1,41;0,00;United Kingdom;Western Europe;"Routledge";"1979, 1995-2021";"Geography, Planning and Development (Q2); Law (Q2); Political Science and International Relations (Q2); Economics and Econometrics (Q3)"
242;5600155017;"International Journal of Human Rights";journal;"13642987";0,335;Q2;25;104;258;0;342;246;1,08;0,00;United Kingdom;Western Europe;"Routledge";"2009-2021";"Law (Q2); Sociology and Political Science (Q2)"
243;5800170936;"Legal Issues of Economic Integration";journal;"15666573";0,331;Q2;11;15;49;740;23;49;0,64;49,33;Netherlands;Western Europe;"Kluwer Law International";"2012-2020";"Law (Q2); Economics and Econometrics (Q3)"
244;7200153158;"Law and Practice of International Courts and Tribunals";journal;"15691853, 15718034";0,330;Q2;12;21;70;986;19;65;0,34;46,95;Netherlands;Western Europe;"Brill Academic Publishers";"2007-2021";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
245;21101022227;"Journal of Human Rights and Social Work";journal;"23651792";0,329;Q2;10;60;95;2681;117;84;0,98;44,68;Switzerland;Western Europe;"Springer Science + Business Media";"2016-2021";"Law (Q2); Sociology and Political Science (Q2)"
246;21100786529;"Mezhdunarodnye Protsessy";journal;"17282756, 18112773";0,327;Q2;6;23;121;881;42;118;0,46;38,30;Russian Federation;Eastern Europe;"Academic Educational Forum on International Relations";"2015-2020";"Cultural Studies (Q1); History (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Law (Q2); Political Science and International Relations (Q2)"
247;21100855754;"Australian Journal of Human Rights";journal;"2573573X, 1323238X";0,325;Q2;13;27;80;1552;68;72;0,76;57,48;Australia;Pacific Region;"Taylor and Francis Ltd.";"1994, 1996-2021";"History (Q1); Philosophy (Q1); Law (Q2); Sociology and Political Science (Q2)"
248;19800188055;"Journal of Financial Crime";journal;"17587239, 13590790";0,325;Q2;26;105;312;4769;361;302;1,06;45,42;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1993-2021";"Economics, Econometrics and Finance (miscellaneous) (Q2); Law (Q2)"
249;18575;"Notre Dame Law Review";journal;"07453515";0,325;Q2;34;66;151;12300;85;151;0,23;186,36;United States;Northern America;"Notre Dame Law School";"1984, 1986, 1989-1990, 1992-1993, 1995-2021";"Law (Q2)"
250;21100843497;"Accounting, Economics and Law: A Convivium";journal;"21522820";0,324;Q2;17;40;71;2406;70;69;0,92;60,15;Germany;Western Europe;"Walter de Gruyter GmbH";"2011-2021";"Economics, Econometrics and Finance (miscellaneous) (Q2); Law (Q2); Accounting (Q3)"
251;18053;"New York University Law Review";journal;"00287881";0,324;Q2;55;43;120;192;100;112;0,97;4,47;United States;Northern America;"New York University School of Law";"1973-1976, 1979, 1985, 1987, 1991-1994, 1996-1999, 2001-2021";"Law (Q2)"
252;21101039870;"Revista Espanola de la Transparencia";journal;"24442607";0,324;Q2;2;23;24;553;11;24;0,46;24,04;Spain;Western Europe;"Association of Professionals and Researchers of Transparency (ACREDITRA)";"2020-2021";"Communication (Q2); Law (Q2); Public Administration (Q3)"
253;20750;"European Journal of Law and Economics";journal;"09291261, 15729990";0,323;Q2;32;39;118;2057;105;112;1,01;52,74;Netherlands;Western Europe;"Springer Netherlands";"1994-2021";"Law (Q2); Business and International Management (Q3); Economics and Econometrics (Q3)"
254;16673;"Minnesota Law Review";journal;"00265535";0,323;Q2;41;8;119;244;110;119;0,42;30,50;United States;Northern America;"University of Minnesota";"1976-1977, 1979, 1991, 1994, 1996-2020";"Law (Q2)"
255;21100937015;"Arctic Review on Law and Politics";journal;"23874562";0,320;Q2;5;13;28;184;33;24;1,18;14,15;Norway;Western Europe;"Nordic Open Scholarly Publishing (NOASP)";"2019-2021";"Law (Q2); Sociology and Political Science (Q2)"
256;21100793841;"First Amendment Studies";journal;"21689725, 21689733";0,320;Q2;5;9;32;616;23;29;0,67;68,44;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2021";"Communication (Q2); Law (Q2); Sociology and Political Science (Q2)"
257;26216;"European Journal of Migration and Law";journal;"1388364X, 15718166";0,319;Q2;32;22;70;701;55;69;0,76;31,86;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"1999-2021";"Demography (Q2); Law (Q2)"
258;21100929581;"Journal of Intellectual Property, Information Technology and E-Commerce Law";journal;"21903387";0,319;Q2;5;0;40;0;38;35;0,95;0,00;Germany;Western Europe;"";"2019-2020";"Law (Q2)"
259;21100370349;"Journal of Criminal Psychology";journal;"20093829";0,318;Q2;12;20;60;1150;66;58;0,69;57,50;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2011-2021";"Law (Q2); Applied Psychology (Q3); Social Psychology (Q3)"
260;19900191409;"Partner Abuse";journal;"19466560, 19466579";0,318;Q2;8;25;71;1409;85;70;1,15;56,36;United States;Northern America;"Springer Publishing Company";"2017-2021";"Gender Studies (Q2); Law (Q2); Clinical Psychology (Q3); Health (social science) (Q3); Pediatrics, Perinatology and Child Health (Q3); Social Psychology (Q3)"
261;29156;"Boston University Law Review";journal;"00068047";0,316;Q2;34;7;152;1713;93;149;0,62;244,71;United States;Northern America;"Boston University, School of Law";"1973-1977, 1987, 1989-1990, 1992, 1994, 1996-2021";"Law (Q2)"
262;21101028118;"Journal of Gender-Based Violence";journal;"23986808, 23986816";0,313;Q2;8;34;80;1413;82;71;0,70;41,56;United Kingdom;Western Europe;"Bristol University Press";"2017-2021";"Gender Studies (Q2); Law (Q2)"
263;21539;"Harvard Civil Rights-Civil Liberties Law Review";journal;"00178039";0,312;Q2;29;4;24;251;20;24;1,13;62,75;United States;Northern America;"Harvard University";"1973, 1975, 1981-1982, 1984, 1988, 1991-1992, 1996-2011, 2013-2019, 2021";"Law (Q2)"
264;5700165138;"Law and History Review";journal;"07382480";0,311;Q2;29;32;94;1534;66;86;0,52;47,94;United Kingdom;Western Europe;"Cambridge University Press";"1983-2021";"History (Q1); Law (Q2)"
265;26299;"Harvard International Law Journal";journal;"00178063";0,309;Q2;44;0;15;0;17;15;1,20;0,00;United States;Northern America;"Harvard University";"1979, 1992, 1996-2019";"Law (Q2); Political Science and International Relations (Q2)"
266;40064;"Medicine, Science and the Law";journal;"20421818, 00258024";0,309;Q2;37;100;141;2492;179;119;1,22;24,92;United Kingdom;Western Europe;"SAGE Publications Ltd";"1960-2021";"Law (Q2); Health Policy (Q3); Issues, Ethics and Legal Aspects (Q3)"
267;15077;"Indiana Law Journal";journal;"00196665";0,308;Q2;29;28;120;6328;71;119;0,56;226,00;United States;Northern America;"Indiana University";"1973, 1977-1979, 1981-1983, 1989, 1992-2020";"Law (Q2)"
268;16241;"Journal of Law and Society";journal;"14676478, 0263323X";0,308;Q2;50;39;109;0;112;105;1,03;0,00;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1983, 1985, 1988, 1991-1993, 1996-2021";"Law (Q2); Sociology and Political Science (Q2)"
269;5700169553;"Residential Treatment for Children and Youth";journal;"0886571X";0,308;Q2;24;37;71;1582;69;62;0,90;42,76;United States;Northern America;"Routledge";"1986-2005, 2007-2021";"Law (Q2); Pediatrics, Perinatology and Child Health (Q3)"
270;147218;"Journal of Conflict and Security Law";journal;"14677954";0,306;Q2;26;13;48;1379;26;45;0,56;106,08;United Kingdom;Western Europe;"Oxford University Press";"2005-2021";"Law (Q2); Safety Research (Q2); Safety, Risk, Reliability and Quality (Q3)"
271;21101050919;"Journal of Family Trauma, Child Custody and Child Development";journal;"26904586, 26904594";0,304;Q2;21;32;66;1282;87;64;1,22;40,06;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2020-2021";"Law (Q2); Developmental and Educational Psychology (Q3); Health (social science) (Q3); Social Psychology (Q3)"
272;5600153394;"International Criminal Justice Review";journal;"10575677";0,303;Q2;25;37;78;2173;101;72;1,26;58,73;United States;Northern America;"SAGE Publications Inc.";"1991-2003, 2005-2021";"Law (Q2)"
273;5800170969;"Journal of Corporate Law Studies";journal;"17578426, 14735970";0,303;Q2;10;21;49;0;40;49;0,83;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2021";"Law (Q2)"
274;24681;"American Business Law Journal";journal;"00027766";0,301;Q2;25;16;49;0;45;49;0,86;0,00;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1963-2021";"Law (Q2); Business and International Management (Q3)"
275;19700187808;"Journal of Medical Ethics and History of Medicine";journal;"20080387";0,301;Q2;17;16;68;678;92;56;0,94;42,38;Iran;Middle East;"Teheran University of Medical Sciences";"2008-2021";"History (Q1); Law (Q2); Computer Science (miscellaneous) (Q3)"
276;21100432126;"Revista Derecho del Estado";journal;"23462051, 01229893";0,299;Q2;4;24;105;756;37;104;0,36;31,50;Colombia;Latin America;"Universidad Externado de Colombia";"2015-2021";"Law (Q2)"
277;21100925787;"AJIL Unbound";journal;"23987723";0,297;Q2;10;64;203;1228;128;200;0,65;19,19;United States;Northern America;"Cambridge University Press";"2013-2021";"Law (Q2)"
278;20600195510;"Journal of Aggression, Conflict and Peace Research";journal;"20428715, 17596599";0,297;Q2;17;24;75;1393;101;72;1,02;58,04;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2009-2021";"Law (Q2); Sociology and Political Science (Q2); Health (social science) (Q3); Social Psychology (Q3)"
279;16291;"European Law Review";journal;"03075400";0,295;Q2;23;31;79;265;37;70;0,31;8,55;United Kingdom;Western Europe;"Sweet &amp; Maxwell Ltd.";"1995, 2008-2021";"Law (Q2)"
280;12600154734;"International Journal of Electronic Security and Digital Forensics";journal;"17519128, 1751911X";0,294;Q2;15;35;76;1115;102;75;1,46;31,86;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2007-2010, 2012-2021";"Law (Q2); Computer Networks and Communications (Q3); Safety, Risk, Reliability and Quality (Q3)"
281;21100856464;"Settler Colonial Studies";journal;"18380743, 2201473X";0,294;Q2;21;28;90;0;108;87;1,09;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2021";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Demography (Q2); Law (Q2); Sociology and Political Science (Q2)"
282;21100395926;"Asian Journal of Law and Society";journal;"20529023, 20529015";0,292;Q2;10;50;67;3223;55;60;0,50;64,46;United Kingdom;Western Europe;"Cambridge University Press";"2014-2021";"Law (Q2); Sociology and Political Science (Q2)"
283;5700164027;"International Criminal Law Review";journal;"1567536X";0,291;Q2;23;80;107;3431;59;105;0,53;42,89;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"2001-2021";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
284;5700166959;"Human Rights Review";journal;"15248879";0,289;Q2;20;33;56;1818;69;56;1,16;55,09;Netherlands;Western Europe;"Transaction Periodicals Consortium";"2000-2021";"Law (Q2); Sociology and Political Science (Q2)"
285;21100259595;"Contemporary Readings in Law and Social Justice";journal;"21622752, 19489137";0,288;Q2;15;20;60;604;143;60;3,25;30,20;United States;Northern America;"Addleton Academic Publishers";"2013-2020";"Law (Q2); Sociology and Political Science (Q2)"
286;21100881655;"ICSID Review";journal;"02583690, 20491999";0,288;Q2;20;11;100;1180;29;90;0,17;107,27;United Kingdom;Western Europe;"Oxford University Press";"1996-2019";"Law (Q2); Finance (Q3)"
287;21100970270;"Current Issues in Criminal Justice";journal;"10345329, 22069542";0,287;Q2;5;37;60;2015;77;56;1,28;54,46;United Kingdom;Western Europe;"Routledge";"2019-2021";"Law (Q2)"
288;19900188035;"International Journal of Conflict and Violence";journal;"18641385";0,287;Q2;20;3;46;157;71;44;1,70;52,33;Germany;Western Europe;"University of Bielefeld";"2010-2021";"Law (Q2); Sociology and Political Science (Q2)"
289;28336;"Ocean Development and International Law";journal;"00908320, 15210642";0,286;Q2;33;19;57;0;55;55;1,24;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973-2021";"Law (Q2); Political Science and International Relations (Q2); Development (Q3); Management, Monitoring, Policy and Law (Q3)"
290;15184;"Duke Law Journal";journal;"00127086";0,285;Q2;46;18;104;4424;94;94;0,83;245,78;United States;Northern America;"Duke University School of Law";"1978, 1980-1981, 1983-1986, 1988-1994, 1996-2021";"Law (Q2)"
291;19500157216;"Journal of Addictions and Offender Counseling";journal;"10553835, 21611874";0,285;Q2;16;9;24;309;28;24;1,31;34,33;United States;Northern America;"Wiley-Blackwell";"1990-2021";"Law (Q2); Clinical Psychology (Q3); Social Psychology (Q3)"
292;17522;"Law and Critique";journal;"09578536, 15728617";0,285;Q2;20;34;59;1614;67;54;0,49;47,47;Netherlands;Western Europe;"Springer Netherlands";"1990-2002, 2004-2021";"Law (Q2)"
293;5700153969;"University of Toronto Law Journal";journal;"00420220";0,285;Q2;18;34;92;3730;67;87;0,48;109,71;Canada;Northern America;"University of Toronto Press";"1974-1975, 1977, 1981, 1989, 1991-1993, 2008-2021";"Law (Q2); Sociology and Political Science (Q2)"
294;19700175179;"Estudios Constitucionales";journal;"07185200, 07180195";0,284;Q2;11;26;83;1139;34;75;0,32;43,81;Chile;Latin America;"Universidad de Talca";"2009-2020";"Law (Q2); Sociology and Political Science (Q2)"
295;21101041601;"European Papers- A Journal on Law and Integration";journal;"24998249";0,284;Q2;2;53;51;3251;16;51;0,31;61,34;United States;Northern America;"European Paper";"2020-2021";"Law (Q2)"
296;21100218074;"International Journal of Cyber Criminology";journal;"09742891";0,284;Q2;18;0;77;0;99;76;0,79;0,00;India;Asiatic Region;"";"2012-2020";"Law (Q2)"
297;21100890644;"Journal of Money Laundering Control";journal;"17587808, 13685201";0,284;Q2;24;83;227;3256;223;221;0,98;39,23;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1997-2021";"Economics, Econometrics and Finance (miscellaneous) (Q2); Law (Q2); Public Administration (Q3)"
298;24834;"Journal of Value Inquiry";journal;"15730492, 00225363";0,284;Q2;19;96;119;630;74;104;0,51;6,56;Netherlands;Western Europe;"Springer Netherlands";"1967-2021";"Law (Q2); Philosophy (Q2); Social Sciences (miscellaneous) (Q2)"
299;19700194007;"African Security Review";journal;"21540128, 10246029";0,283;Q2;12;30;62;1452;58;52;0,65;48,40;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995, 2010-2021";"Law (Q2); Political Science and International Relations (Q2); Safety Research (Q3)"
300;15718;"Israel Law Review";journal;"20479336, 00212237";0,282;Q2;20;16;54;583;31;43;0,74;36,44;United Kingdom;Western Europe;"Cambridge University Press";"1974-1975, 1977-1981, 1983, 1992-2002, 2004-2021";"Law (Q2)"
301;5800207391;"Journal of Adult Protection, The";journal;"14668203";0,282;Q2;17;30;88;1061;74;77;0,81;35,37;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1999-2021";"Law (Q2); Sociology and Political Science (Q2)"
302;21100208060;"European Journal of Probation";journal;"20662203";0,280;Q2;19;17;41;865;32;38;0,52;50,88;United Kingdom;Western Europe;"SAGE Publications Ltd";"2009-2021";"Law (Q2)"
303;4000152138;"International Commentary on Evidence";journal;"15544567";0,280;Q2;7;0;7;0;2;6;0,33;0,00;Germany;Western Europe;"Walter de Gruyter GmbH";"2006-2007, 2009-2016, 2018-2019";"Law (Q2)"
304;17400154833;"Journal of Transportation Security";journal;"19387741, 1938775X";0,280;Q2;15;15;35;637;43;33;1,46;42,47;United States;Northern America;"Springer New York";"2008-2021";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Safety Research (Q3); Transportation (Q3); Management Science and Operations Research (Q4)"
305;5600152936;"Crime Prevention and Community Safety";journal;"17434629, 14603780";0,278;Q2;23;25;67;1350;75;63;1,11;54,00;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1999-2021";"Law (Q2); Sociology and Political Science (Q2); Safety Research (Q3)"
306;21100855983;"Arbitration International";journal;"09570411, 18758398";0,276;Q2;20;35;82;2308;14;80;0,19;65,94;United Kingdom;Western Europe;"Oxford University Press";"1996-2021";"Law (Q2); Business and International Management (Q3)"
307;21100921043;"Journal of European Competition Law and Practice";journal;"20417772, 20417764";0,276;Q2;11;62;260;1686;82;229;0,25;27,19;United States;Northern America;"Oxford University Press";"2010-2021";"Law (Q2)"
308;24010;"Constitutional Political Economy";journal;"15729966, 10434062";0,275;Q2;29;34;61;1900;51;61;0,83;55,88;United States;Northern America;"Springer New York";"1990-2021";"Law (Q2); Philosophy (Q2); Sociology and Political Science (Q2); Economics and Econometrics (Q3)"
309;9500154032;"Journal of Legal Medicine";journal;"01947648, 1521057X";0,275;Q2;20;6;64;0;33;61;0,46;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974-1975, 1979-2015, 2017-2021";"Law (Q2); Medicine (miscellaneous) (Q3)"
310;21100275968;"Journal for European Environmental and Planning Law";journal;"18760104, 16137272";0,274;Q2;8;21;67;919;48;62;0,85;43,76;Netherlands;Western Europe;"Brill Academic Publishers";"2013-2021";"Law (Q2); Management, Monitoring, Policy and Law (Q3)"
311;21100865914;"Global Trade and Customs Journal";journal;"18756468, 1569755X";0,273;Q2;4;76;188;3172;34;180;0,17;41,74;Netherlands;Western Europe;"Kluwer Law International";"2018-2021";"Law (Q2); Business and International Management (Q3)"
312;21100429175;"Northwestern Journal of International Law and Business";journal;"01963228";0,273;Q2;7;9;31;466;23;29;0,65;51,78;United States;Northern America;"Northwestern University School of Law";"2015-2021";"Law (Q2); Business and International Management (Q3); Strategy and Management (Q3)"
